content	label
 ربنا  يهديني ويجعلني من  الخاشعين  والمسلمين  اجمعين	Positive
 ربنايحفظك  ياشيخ	Positive
 لجنه حكم  ماعندها  ذره  احترام	Negative
 سنبقي  داءما  معا  نشاطر  بعضنا البعض  مر  الحياه  وحلوها	Positive
 التخلف  بعين  امه وعين  ابو  في  جامعات  الاردن  والزعرنه  والفساد  والفسق  والعشق  الممنوع	Negative
 كل  يوم  يصدمنا الاعلام  بنتاءج  رقميه مجهوله المصدر  والتوثيق  والاستقراء  حول  التعليم  في  الاردن  لتبرروا  تغير  المناهج  المخزي  لا  لن  تخدعوانا	Negative
 انا  لو  مكان  راغب  اروح  انتحرر	Negative
 شبابنا زي  الورده  بس  بدهم حدا  يدعمهم	Positive
 لا  هديله  بالجزمه  طبعا	Negative
 لن  يقفل  باب  مدينهنا فانا  ذاهبه لاصلي  سادق  علي  الابواب  و  سافتحها الابواب  و  ستغسل  يا  نهر  الاردن  وجهي  بمياه  قدسيه و  ستمحو  يا  نهر  الاردن  اثار  القدم  الهمجيه	Positive
 الله  الكلام  الجميل	Positive
 حقا  مزبوط  صدقت	Positive
 كيف  يجتمع  ستر  وغض  البصر	Negative
 نعم  الله  علي  اكثر  من  ان  احصيها الهدايه  ,  الصحه  ,  سلامهالقلب  ,  ذكاء  العقل  ,  صفاء  المشاعر  ,  سلامهالحواس  ,  حفظ  الاحباب  اللهم  لك الحمد	Positive
 لو  يدرس  في  جامعات  مصر  او  الاردن  يعرف  الدراسه  والعلم  الحقيقي  وهناك  اللي  يقدرون  نسبهه وتفوقه	Positive
 الله  حيهم هالشباب  انتوا  القدوه	Positive
 هذا  لا  يعني  خلوها من  الاشكال  المصديه	Negative
 اللهم  قني عذاب  النار  ادخلني جناهك	Positive
 احذفه اني بجلس  احش  فيهم لمين  اكفر	Negative
 برنامج  معوق  ومشاركين  معوقين  :	Negative
 الخشوع  امر  مهم  جدا  في  الصلاه	Positive
 عدوله السامج  هذا  خرب  اوم  المقطع  قسسم  زباله هالادمي  ودمه زفت  انا  ضحكت	Negative
 استغفر  الله  مجانين  يروحون  سوبر  ستار	Negative
 خليه  يرفع  لكن  اللي  عنده وطنيه انتماء  يصف  سيارهه بالشارع  يروح  علي  الشغل  مشي	Negative
 صباح  الخير  والسعاده  لكم	Positive
 صرماتي  براس  اهلك	Negative
 و  الي  اسماء  الاسد  كس  اخت  زوجك :	Negative
 ربنا  يكرمك علي  سعيك وحبك لالمساعده	Positive
 من  جد  مجنون	Negative
 يشبه  رغد  مجنونه هيافاء	Negative
 والنعم  والاخلاق  والنعم  والصداقه  والنعم  الاخوه	Positive
 لن  تموت  نفس  حتي  تستكمل  رزقها اجلها	Positive
 ربنا  يقويكي  علي  اخد  القرار  الصح  واحسني الظن  بالله  وتوكلي  عليه وربنا يقويكي  علي  ضعفك يارب  ويعدك عن  الغلط  ده	Positive
 افتخر  اني مسلم  نعمه من  نعم  ربي	Positive
 كل  شء  في  حب  الله  تهون  وحب  ربنا اقوي  بكتير  من  اي  حاجه	Positive
 اسوء  شعور  لما  تتاسف  و  تندم  علي  شيء  ما  سويته لما  كانت  الفرصه  متاحه امامك .	Negative
 الله  وكيلك مشحطط  اهل  دابوق  دير  غبار  عبدون  منعم  علي  الفقراء	Negative
 يا  اخي اطلع  في  صورهك بالمرايه  وشوف  اداءك هوه  اداء  فني   صوت  مناسب  قبل  لا  تفضح  حالك في  هيك  برامج  تافهه	Negative
 هو  رحيم  بكل  شيء  في  الكون  هو  الخالق  فلابد  ان  يرزق  مخلوقاته	Positive
 الحمد  لالله  علي  نعمه الاسلام  وكفي  يها  نعمه	Positive
 الله  يسامحك  حبيبتي  افهمتيني  غلط	Negative
 الله  اخترت  اسم  غالي  علي  قلبي قوي  ربنا يثبتك علي  دين  الاسلام  اخترت  صح  بجد	Positive
 بقرف  زيك	Negative
 الله  يخزيك	Negative
 اللهم  اعني  علي  ذكرك شكرك حسن  عبادهك	Positive
 هذا  اللي  بالنص  من  لجنه الحكم  مفكر  نفسو  وديع  الصافي  هو  شقفه علاك	Negative
 لكن  لالاسف  عننا كلمه معاق  في  الحياه  العامه  في  الاردن  تستخدم  لالتعبير  عن  الشخص  الغبي  علشان  هيك  انا  قلت  ذوي  الاحتياجات  الخاصه  افضل	Negative
 يا  رب  يا  خير  الرازقين  ارزق  اهل  سوريا  جميع  المسلمين  النصر  الثبات  التقوي	Positive
 سلمت  يمنيك كلام  من  ذهب	Positive
 لا  وحده مع  القران  هو  انيسي  ام  الغرام  فلا  احتاجه مطلقا	Positive
 اتفه  علي  هيك  برنامج  عالمي	Negative
 واطي وماجور  وسافل  ومنحط  وكريه وغبي  وسطحي  وحقو  قرش  مصدي  وبيسوي  صرمايه	Negative
 الله  يفرح  الكل  ويجمع  بين  المتحابين  علي  خير	Positive
 ماعندك  شرف	Negative
 انا  معك بان  دين  الاسلام  لكل  الناس  وفي  كل  زمان  ومكان	Positive
 اللهم  انا  نعوذ  بك  من  غضبك نساللك  رضاك	Positive
 الشعب  الذي  اختار  نواب  خرجين  سجون  سوابق  بستاهل  اكثر  من  هيك  مشان  50  دينار  الله  لا  يرد  هيك  شعب	Negative
 الله  يخلف  علينا بس  ,  يقال  لا  فقر  اكثر  من  الجهل  ولا  غني  افضل  من  العقل  !  !	Negative
 اللهم  استخدمنا  في  طاعهك	Positive
 بدي اروح  عمره الله  ييسر	Positive
 من  يستمتع  برءيه  الناس  في  مواقف  محرجه فهو  سادي  غير  اصيل  نفسه ضعيفه مريضه	Negative
 من  توكل  علي  الله  يعانق  قلبه النور  الصفاء	Positive
 انت  واحد  ما  بتستا  هل  الجزمه	Negative
 لا  ربنا يرحمنا برحمهه	Positive
 دار  الزمن  وصار  الوسط  الفني  كله نفس  ذي  العاهات  ووضحكو  هما  علينا	Negative
 من  وين  انجيب  حرام  عليكم	Negative
 اخر  همي اني اتناقش  مع  اي  كاءن  حي  اواتجادل  بذات  اذاكان  عقيم  فكريا	Negative
 احلي  اشي  في  الحياه  الاستقرار  مع  زوج  صالح	Positive
 اعمل  ليومك غدك كن  متفاءلا  داءما  يا  صاحبي	Positive
 اكيد  طبعا  حب  ربنا احسن  من  حب  اي  حد  وانا  فعلا  عملت  كدا	Positive
 انت  واحد  حقير	Negative
 الله  المستعان  علي  كل  ظالم  فليس  باليد  حيله غير  ان  نقول  لا  حول  ولا  قوه  الا  بالله	Positive
 يا  مصلح  القلوب  اصلح  احوالنا يا  مسهل  يا  رب	Positive
 ويحطمو  رءوسهم بارجلهم	Negative
 بكتب  اوراق  الشجر  يقول  موهبتي  وانا  صغير  الله  يسامح  اللي  كاذب  عليه	Negative
 كلب  واطي	Negative
 الدين  ليس  بالمظاهر  الدين  المعامله  حياء  وادب  واحترام  وانتقاء  للالفاض  الطيبه	Positive
 كم  هي  ثقيله علي  لسانك .  .  فراءحه الدجل  والنفاق  بنظرات  عيونك !  !	Negative
 كلام  طيب	Positive
 اللهم  ان  كان  رزقي بعيدا  فقربه لي ان  كان  قريبا  فيسره لي وان  كان  كثيرا  فبارك لي فيه	Positive
 الارواح  جنود  مجنده  من  تعارف  منها اتلف  ومن  تنافر  منها اختلف	Positive
 شو  هالغباء  فضحتنا	Negative
 الاعتداءات  علي  المعلمين  والاطباء  .  .  .  جراءم  لا  تقبل  اي  تبرير	Negative
 كس  امكم يالعرب  يابهايم  يابقايا  حضارات  الامم	Negative
 معك حق	Positive
 مياعه  وسءاله  من  عدوله والي  معو	Negative
 العجوز  هذا  والرجال  الي  بجنبه بله واغبياء  وانهم يثبطون  الواحد	Negative
 صح  كلامك احلي  حكمه محد  يبقي  لالنهايه  رغم  اتفاق  الطرفين	Positive
 ربنا  يهدينا يهدي  بينا  امه محمد  الغافلين	Positive
 قرف  يقرفك	Negative
 اسعار  البنزين  مرتفعه في  المملكه  الاردنيه  الهاشميه  والشعب  اغلبه فقير  وماشيه الحياه  بدون  اي  مشاكل  لكن  اللي  يقهرك ان  الاردن  لا  تنتج  البنزين	Negative
 من  المدرب  مرورا  بالمدافعين  والوسط  الي  المهاجمين  كلهم كانوا  في  اسوء  حالاتهم	Negative
 يا  رب  اللهم  اجعلني  خير  منما يظنون  اغفر  لي ما  لا  يعلمون	Positive
 ربنا  اصلح  احوالنا	Positive
 من  يوم  شفهك حاطه صورهك غسلت  يدي  منك	Negative
 اللهم  احينا  وامهنا علي  الاسلام  وعلي  كلمه لا  اله  الا  الله	Positive
 ربنا  يسهل	Positive
 كاميرا  خفيه في  الانحطاط  الاخلاقي	Negative
 انا  احب  هذا  الكاتب	Positive
 حرام  والله  حزنت  عليه شو  هالموقف  الشنع	Negative
 فعلا  البت  جده لما  تحتاج  ليه هو  الانسان  الصادق  هو  البستاهل  تضحي  عشان	Positive
 يا  اخي وين  ما  تروح  بالاردن  تخطي  مناطق  الشخصيات  المهمه  بالبلد  الباقي  كله مكرهه صحيه	Negative
 فعلا  والله  هو  القرار  والثبات  عليه	Positive
 كس  اختك	Negative
 الله  يرحم  هلبلاد  من  الحراميه  والمتسلقين  علي  قوت  الشعب  لك الله  ياشعبنا	Positive
 بعرف  بس  مو  حلو	Negative
 والله  نوفي  صح  لسانك	Negative
 لا  حول  ولا  قوه  الا  بالله  العظيم  لم  اكن  اعلم  ان  نسبه ذكاء  العرب  منخفضه جدا  الي  هذا  الحد	Negative
 وانت  اسكت  لا  تتحطم	Negative
 اميره ممكن  اضافه  لو  سمحتي	Positive
 اننا نعيش  في  زمن  بلا  رحمه	Negative
 انا  ابو  عدوله هذا  لو  قدامي  صدق  اني راح  العن  ابو  من  جابه	Negative
 نجدد  قلبنا بالايمان  مع  بعض	Positive
 اللهم  لا  تدع  لي ذنبا  الالا غفرهه اللهم  اصلح  لي ديني	Positive
 الا  لعنه الله  علي  الشيعه  الي  يوم  الدين	Negative
 اللهم  لا  اعتراض  علي  حكمك ارزقنا  انت  خير  الرازقين	Positive
 صباحك سعيد	Positive
 اللهم  اني اسالك فعل  الخيرات  و  ترك  المنكرات  و  حب  المساكين  و  ان  تغفر  لي و  ترحمني و  تتوب  علي	Positive
 صباح  التفكر	Positive
 اصلا  المغتربين  ماعاد  بدهم جامعات  الاردن  ,  عل  فكره في  دول  ثانيه  وجامعات  ثانيه  اقوي  ,  خليها للذنيبات	Negative
 ما  اجمل  الوفاء	Positive
 في  خطبه وحده رفض  شيخ  اخواني النووي  الاردني  و  مدح  النووي  الايراني	Negative
 عمدا  فيهم ما  نستعمل  التدفءه  نلبس  فروه	Negative
 ما  سال  لالله  الهادي  الخالق	Positive
 نفسي يوم  اكل  وانا  مش  مستعجله	Negative
 اللهم  نقي  نفوسنا اجعلنا  لك من  المخلصين  سرا  جهرا	Positive
 قصه راءعه  افادك الله  من  العلم  لتفيدنا داءما	Positive
 لنفترض  جدلا  ان  لا  اضرار  صحيه بيءيه سينتج  عن  بناء  مفاعلات  نوويه  سلميه دعوانا نفكر  في  الكلفه  من  حيث  اولا  :  كلفه بناء  عاليه  جدا  لعدم  امتلاكنا لهذه  التكنولوجيا  علي  شكل  ديون  تثفل  كاهل  العشر  اجيال  القادمه  ثانيا  :  لنفس  السبب  سنستورد  خبراء  لالتشغيل  لسنوات  طويله منما يزيد  كلفه الطاقه  ليس  العكس  ناهيك  عن  حصول  اي  اخطاء  مفترضه مستقبلا  ثالثا  :  اين  هو  المكان  البعيد  عن  المدن  في  الاردن  واين  مصدر  المياه  الكافيه  لالتبريد  رابعا  :  من  حق  المواطنين  اصحاب  القرار  الحصول  علي  تقرير  منشور  لالاثر  البيءي  مسبقا  بنفس  الوقت  نستطيع  الحصول  علي  نفس  كميه الطاقه  من  الصخر  الزيتي  الذي  نمتلك  منه احتياطي  هاءل  من  الغاز  الطبيعي  المءمل  مستقبلا  من  الطاقه  الشمسيه  من  طاقه الرياح  بكلف  نسبيا  اقل  بكثير  من  النووي  دون  اعباء  ديون  اضافيه	Negative
 بعدين  حتي  الدول  الي  اعلنت  انهاء  المفاعلات  النوويه  زي  اليابان  تراجعت  عن  قراره	Negative
 سيء  جدا	Negative
 لاتنساني  من  دعاءك الصالح  شيخنا	Positive
 احسن  شيء  العمل  الذي  يءدي  لالاستمراريه	Positive
 حبيبي  شرلبوني  يموت  شرلبونا  انا  مدريدي  ?  لكن  ماني مغير  لعيونه	Negative
 المسلسلات  خربت  بيوت  العالم	Negative
 ومن  منطلق  المسءوليه  التاريخيه  لالهاشميين  تجاه  المقدسات  ياتي  اهتمام  الهاشميين  بالقدس  ومقدساتها	Positive
 بعين  الله  يا  امال  كلهن ستين  سبعين  سنه وبمضن  وبتهون	Negative
 الله  الله  عليك يا  استاذ  عمر  بارك  الله  لك بارك  عليك جزاءك الله  عننا خيرا  كثير	Positive
 لالبرنامج  التافه  الي  يسمح  لهذا  الشي	Negative
 اين  ذهبوا  العلماء  والمخترعين  والمفكرين  جرب  في  جرب	Negative
 هادي  الاخوه  الصادقه	Positive
 تخسا  هما  وكل  واحد  بشد  علي  يدهم مشكلتو  شعب  سوري  يدعون  البراء  وهم  في  قمه النذاله	Negative
 حسبنا الله  نعم  الوكيل  في  اناس  همهم تجويع  الشعب	Negative
 ولكوم  ما  نحن  ميتين  من  دون  هالوسطه	Negative
 قصه في  منتهي  الروعه	Positive
 لو  كان  لالحب  راءحه .  .  لكانت  راءحه القهوه  في  يوم  ممطر	Positive
 تفو  كس  امك حماره	Negative
 تويتر  صاير  ممل	Negative
 كله علي  راس  المواطن  ما  يثير  السخريه  رفع  اسعار  المستقات  النفطيه  المستخدمه  في  الصناعه  تقول  صناعهنا مكسره الدنيا	Negative
 اللهم  اجعلني  من  يتشرف  به الاسلام	Positive
 انت  مو  انت  انت  جوعان  كل  شوكولاته  افرح	Positive
 يا  الله  ما  احلاه من  خبر  والله  فرحتوني	Positive
 اشهد  الله  اني احبك في  الله  ادعوا  ان  نحشر  مع  حبيبنا امامنا محمد  صلي  الله  عليه سلم  في  الجنه  امين	Positive
 جورج  وسوف  حلب  مو  طبيعي	Negative
 ثبتك الله  يا  استاذي ونصرك	Positive
 نيله تنيلكم من  وين  جايبين  هالحثانه	Negative
 وين  القناه التافه  الي  تعرض  هذول  المعاتيه  صحيح  نحن  في  انحطاط	Negative
 الله  الله  علي  اخلاق  الصحابه  اصحاب  رسول  الله	Positive
 هالانسان  مجنون  لابس  بدله رياضه  وجاي  يغني  حتي  لو  صوتك زين  اللبس  عدل	Negative
 احسن  اظن  بالله  وتوكل  عليه وحده	Positive
 دخيل  عينك يادكتور  كلامك ذهب	Positive
 الغموض  لغه  لا  يتكلم  بها الا  من  ذاق  متاعب  الدنيا	Negative
 اللهم  كما  حسنت  خلقنا حسن  اخلاقنا	Positive
 لازم  اخر  ما  توصل  اليه العقل  البشري  من  غباء  اخوكم حمزه اللهواني  من  الاردن	Negative
 قلت  ادب	Negative
 هل  الثقه  بالمشتركين  الزياده  لدرجه العمي  او  ان  محيطهم يجاملهم  بجمال  صوتهم	Negative
 مشاهد  وسخه	Negative
 نحن  نرفض  المفاعل  النووي	Negative
 الحكم  سيء	Negative
 ليش  معصب  يا  عدوله	Negative
 انتم  يا  قطريه شن  عارفكم السياسه  انتم  لاعندكم  جيش  ولا  استراتجيه  ثابته انتم  عملاء  امريكا  يا  خونه	Negative
 ماشاء  الله  عليكم بجد  موضوع  مهم  جدا  والاهم  الرقي  الراءع  في  الحوار	Positive
 جمهور  لا  يياس  الي  اخر  ثانيه	Positive
 اللهم  اعز  المسلمين	Positive
 انا  اردني  بقول  الشعب  بيستاهل  غلا  اكثر  من  هيك	Negative
 معلم  في  حقيقه عمله هو  مدرب  يدرب  طلاب  علي  اكتساب  المعرفه  لا  مجرد  تلقيها	Positive
 والله  كذب  من  سوبر  ستار  القذر  هذا	Negative
 سلمت  سلمت  يداك انها الاخلاق  الكريمه  التي  علمنا اياها رسولنا الاعظم  صلوات  الله  سلامه  عليه اننا انشاء  الله  سنفعل  ما  بوسعنا حتي  نرسم  صوره راقيه جميله عن  ديننا اخلاقنا الله  المستعان	Positive
 هع  مش  حلو	Negative
 وبكل  تبلد  اعترف  لكم باني اقل  نساء  الارض  صبرا	Negative
 لوين  ندكم توصلوانا الله  هموم  المصاريف  قتلت  الصغير  قبل  الكبير  الله  ياخذ  حقنا منكم لا  يباركلكم	Negative
 لاتتحدث  بقوهك امام  ضعيف  ,  و  لا  بسعادهك امام  حزين  ,  و  لا  بمالك امام  فقير  ,  زن  كلامك و  راع  شعور  الاخرين	Negative
 ربنا  يصلح  حالنا جميعا	Positive
 بطني وجعتني من  الضحك	Negative
 البرنامج  الي  بعد  سوبر  ستار  الي  يقلده دم  ثقيل	Negative
 هع  بدها بس  تعلق  التعليقات  الزنخه	Negative
 وجعلنا من  الماء  كل  شيء  حي	Positive
 عليا  النعمه  ابدا  لا  هو  ولا  الخروف  التاني	Negative
 وهابي  عفن  ومكبوت  تفكيرك محصور  بين  فخذيك فقط  لاغير  الجنه  اللتي  ستدخلها انت  لا  اريد  دخولها جهنم  اشرفلي  واهون  علي  من  ان  اكون  مع  احد  الوهابين  المنحطين  لواطيي  الاطفال	Negative
 انا  علي  ثقه  اني استطيع  فعل  اي  شء  اني انا  من  صنع  الله	Positive
 شردو  اطفلها  وقتلوا  رجالها	Negative
 وان  مدحتك بالقصاءد  ماوفيت	Positive
 اكرمك الله  يا  استاذي الفاضل	Positive
 تركنا  كل  شء  من  اجل  رضا  الله  اللهم  ارضي  عننا	Positive
 ان  الجميل  اذا  اخفيته ظهرا	Positive
 هءلاء  معوقين	Negative
 ما  اجمل  الصبر  الاصرار	Positive
 سخيفه قوه	Negative
 سعادهنا تكون  بحسن  الاستمتاع  بالاشياء  التي  نحصل  عليها كما  تكون  بحسن  الاستغناء  عن  الاشياء  التي  نحرم  منها	Positive
 يارب  اجعلني  من  الصالحين	Positive
 مثال  جميل  جدا  عبره لكل  من  يحمل  رساله  الاسلام	Positive
 اكيد  ماحدا  بيقدر  يارب  اعن  الفقراء  واعنا  مساعدههم	Positive
 اسخف  لجنه تحكيم  شفهها بحياتي	Negative
 كلنا ما  انتصرنا  علي  نفسنا وعلي  الحاجه  ددي  الي  متعبهنا ومبعدهنا عن  الله	Positive
 مفيش  اجمل  من  ان  الانسان  يحافظ  علي  كرامهه	Positive
 و  تربت  علي  كتوفنا  تشحننا بالتفاءل  ايضا  صباحك اسعد	Positive
 ماكل  روح  الخل	Negative
 عاهات  اللهم  لاشماته	Negative
 الا  يكفي  ان  نسبه مرضي  السرطان  في  الاردن  اعلي  نسبه عالميه بسبب  مفاعل  دايمونه  الاسراءيلي  بكل  جهل  نضعهه  في  بلدنا	Negative
 نعم  الاخ  وما  اطيب  قلبه	Positive
 اندهش  لما  عرف  الحقيقه	Negative
 اللهم  اذقنا  حبا  راءعا  حلالا  طاهر	Positive
 شوف  شكلك بالاول  بعدين  احكي	Negative
 الف  الف  مبروك  يستاهل  والله  يوفقكم	Positive
 فعلا  في  البدايه  كلهم راءعون	Positive
 الي  انا  شايفو  انو  المفاعل  راح  ينعمل  في  الاردن  راح  يخدم  دول  تانيه يعني  مش  عشان  سواد  عيونا	Negative
 كن  مع  الله  لا  تبالي	Positive
 اللهم  كن  مع  اخواننا في  سوريا	Positive
 من  دون  التفاءل  ما  في  حياه	Positive
 معتيه  واضح  انهم يمثلون	Negative
 وقعنا  ولا  ما  وقعنا  يللي  بدهم يعملواه بيعملوه	Negative
 يرزق  من  يشاء  بغير  حساب	Positive
 يا  عطاء  يامنان  يا  اكرم  الاكرمين	Positive
 الله  غلي  المسلمين  في  توادهم وتراحمهم	Positive
 عاهاتك ياعرب	Negative
 سبحان  الله  مالك  السموات  الارض	Positive
 الاسلام  نعمه كبيره من  عند  ربنا لا  تقدر  بكنوز  الدنيا  كلها	Positive
 واي  ناس  فاظيين  صج  عاهات	Negative
 يا  ربي هذا  مستحيل  يكون  كاءن  بشري	Negative
 الوحيد  الذي  لايتركني  ولو  لحظه	Negative
 اسال  الله  ان  يرزقني من  يدعو  لي في  ظهر  الغيب	Positive
 ايوه  هيك  بدنا  ياكم  يا  شباب  بترفعو  الراس	Positive
 يهدي  الله  من  يشاء	Positive
 حفظ  سور  جديده تسميعها  في  الصلاه  يساعد  علي  التركيز	Positive
 المراه  تهان  وتعامل  كاداه جنسيه تحت  مسميات  عديده كالمسيار  والمسفار  والمصياف  الخ  وكلو  بتمنو	Negative
 اللهم  احسن  خواتيم  اعمالنا اجعل  كل  اوقاتنا طاعه	Positive
 يجب  وضع  كل  من  تسول  له نفسه مجرد  ان  يعمل  اي  تصرف  لا  يليق  بالاردن  ان  يسجن  يسجن  شيء  مخزي  شويه  همل  زعران  يخربوا  الجامعات  سمعه البلد	Negative
 انشاء  الله  هنعمل  حاجه  تفتخرو  فيها	Positive
 عاهات  العرب  الجرب	Negative
 هاد  كلو  كزب  ياهبله  والله	Negative
 اللهم  اجعلنا  منمن يعطي  الامانه  حقه	Positive
 قصه جميله تعلم  الناس  كمان  الامانه  لان  اذا  اخذ  القليل  اخذا  الكثير	Positive
 شعب  سخيف	Negative
 طريق  واحد  عدم  اليءس  هو  طريق  النجاح	Positive
 اكيد  جزاءك الله  خيرا	Positive
 برك  الله  فيك وجعلها في  مزان  حسناتيك	Positive
 والله  عاهات	Negative
 لكل  مجتهد  نصيب  .  .  .  من  لديه هدف  ويثابر  عليه حتما  بعد  امر  الله  سوف  يصل	Positive
 اوقف  القرار  لالحفاظ  علي  الوطن	Negative
 الله  لا  يشبعكو  يا  ظلمه انشاء  الله  كلو  بتلقو  بالاخره  يا  ظلمه خافوالله  طبعا  اذا  بتعرفوالله	Negative
 سخافه بكل  ماتحوي  الكلمه  من  معني	Negative
 وانا  100  %  بس  شكلها هاي  مو  مدرسه	Negative
 مهيه  خربانه ان  شاء  الله  يعملو  مفاعل  قرد  بطلت  تفرق	Negative
 والله  هذا  الي  حصل  معينا ومع  ناس  كثيره بدل  حب  الحرام  بحب  الحلال  يبدل  الله  كيانك	Positive
 ما  بدي غير  10  يعملو  لايك  للبيج	Negative
 ابشرك فيه تحسن  ولالله  الحمد  باذن  الله  يرجع  قريبا	Positive
 وش  يحسون  فيه يع	Negative
 كلام  صحيح  من  شان  هيك  الدول  اللي  ما  فيها بطاله والمجتمعات  المفتوحه  بتقل  فيها المشاكل  النفسيه	Positive
 الغلط  مو  من  المشاركين  الغلط  من  نفس  البرنامج  المفروض  تكون  في  مرحله فرز  في  البدايه  قبل  لا  يطلعو  الهواء	Negative
 والله  حرق  لاخوات  الكلب	Negative
