content	label
دار الزمن وصار الوسط الفني كله نفس ذي العاهات ووضحكو هما علينا	Negative
عفكره البيج هاد قرفني وقلب معدتي شو للاسف انتا انو عرفك انه هيك الوضع بتفتح بالفنجان يا ناس خفوا علينا الدين مش للايكات وكمنتات	Negative
كرامتى اولى	Positive
ماجمل الحب الاخوه في الله ان نخاف على بعضنا حتى في علاقتنا مع ربنا شئ رائع جدا	Positive
لا حول ولا قوه الا بالله ليش الحرج هدا	Negative
هذا هو الحب الاصيل الوفي بكل معنى الوفاء	Positive
ما اروع برنامج الطريق الى الله	Positive
فاشله من بيئه فاشله	Negative
والله تحشيش من الاخر	Negative
رح اجتهد باني اكون حلوه يوم عرسي مش اكون مثل القرده	Negative
العرب مو بتاع هي الشغلات لاكن نحن فاشلين الله معطينا كل متطلبات التحظر والتطور لاكن نحن لازقين بهلتفاهات ونضن انو هي التحظر	Negative
ولك تفييه عليك	Negative
الله يرزقها كل مشتهي يا رب	Positive
متهور وكذاب	Negative
مين بشار العاهه هاد الي بهدد اي عند الجد والله للنساء والبنات تتطلعن قبل الرجال في هالحاله ونلعن ابو الساعه اللي طلعت بشار وغيره شو هالحكي الاردن قوي بجيشه وقائده فعلا هززلت قال سوريا قال ولا النعامه او رقبه عاليه بدهها قص	Negative
لى جماعه الاخوان الخسيسه كيف بدكو الوطن يتصلح وانتو قسمتوه لفريقيين كل واحد منكم اخدنا لمطرح ومش عارفين واصليين لوين	Negative
هما بس الى بيسعوا للغناء ده طبعا غير الاشتغالات والافلام الهندى الى نحن شفنها	Negative
اللهم اعنا على ذكرك وشكرك وحسن عبادتك	Positive
ما في احلى من الفرح	Positive
ايه راحه فيها المسكين ياحرام	Negative
ما اروعهم	Positive
كن مع الله لا تبالي	Positive
ان الله هو الرزاق دو القوه المتين	Positive
نعم الصديق الوفى	Positive
اني احبك في الله	Positive
من يتقي الله يجعل له مخرجا	Positive
شعور الانفصام تاع سنه خامسه كثير بخزي! اللي هو انك عملت كل شي ممكن ينعمل بالجامعه فزهقت وبدك تتخرج بس بنفس الوقت مش هاين عليك تترك الجامعه	Negative
صار عناد وكره قله ادب بس ظلموها	Negative
قلولهم هذا سوبر ستار مش مسابقه لبياع الخضار	Negative
ستجد مساعده الله وعونه لك عندما تكن النيه صادقه	Positive
وش جابني هنا ثقيلين دم	Negative
ليت بعض الذكريات ينعمل لها فورمات	Negative
شو بالا يا دانيا المشكله مش عارفه تكتب هعهعه	Negative
شكرا لك	Positive
يا هيك الاكل يا بلا لش الحكي	Positive
شي مؤكد انك حمار	Negative
الله يسعدك يبعد عنك كل شر	Positive
بكره واحد منهم بينتحر لم يضحكو عليه	Negative
كانت العرب في الجاهليه، يصيبها التشاؤم ان رات رجل او امراه لون عينيه ازرق وكانت تعتقد انهم شياطين او مس شيطاني اصابهم وهم اجنه	Negative
من وين انجيب حرام عليكم	Negative
كباب كباب واخرتها لحم كلاب تكرمون ، احذروا	Negative
لو حد يا جماعه يعرف طبيب اذن يدلني ولا شكلي هارميهم خلاص باظو	Negative
فهم ادرى واخبر لا وبل اكثر انكارا للشيعه وامثالهم	Negative
انا احب هذا الكاتب	Positive
كنت اخادع الحياه لكي اعيش كما اريد لكن الحياه خدعتني عشت كما هي تريد	Positive
الله يثبتك ينور طريقنا	Positive
ولو هو انسان وعنده احاسيس ممكن من هالموقف اللي الكل يشوفه يتعقد هالانسان من حياته كلها	Negative
اللهم اعصمنا عن معصيتك	Positive
طالما انك تتوجه الى الله عز وجل باستمرار فلسوف يفتح عليك اكثر مما تتخيل	Positive
اللجنه ما تنطاق	Negative
يا اخوان نحن قرفنا	Negative
الشو اسمو ستار اكاديمي ولا المسخره عل العالم اكاديمي	Negative
لو طلعتي من الاردن وين تروحي	Negative
مقرف جدا هذا الشخص	Negative
اسال من بيده ملكوت السماوات والارض ان ييسر لكم اموركم ويرفع قدركم ويعلي شانكم ويبارك لكم فيما اعطاكم ويصرف عنكم ما اذاكم	Positive
من قلت الذوق هذه الافعال	Negative
من جد سوبر ابقار	Negative
اللهم اعني على ذكرك شكرك حسن عبادتك	Positive
صباح الاماني الجميله المحققه باذن الله	Positive
حقا مزبوط صدقت	Positive
عجل يا الله	Positive
وذلك ليذوقوا ايران وسوريا وشيعتهم وبال امرهم	Negative
قصدك اخر ما توصل اليه العقل البشري من تفاهات	Negative
جميله اوى اوى اوى يارب الكل يحس معنى الكلام ده	Positive
صباح الابتسامه مرسومه على محياك ربي اجعل حياتي حياه احبتي نور على نور	Positive
والشكرلله والفضل لله على هذه النعمه التي انعم الله علينا بها وجعلنا من الماء كل شي حي	Positive
اكيد جزاك الله خيرا	Positive
يلعن شرف خواتك	Negative
بقطعكم شو حقودين	Negative
انا متاكده انو هذولي مدفوعلهم علشان يجون يغنون لانو مافي ناس مهابيل لهالدرجه	Negative
انا فعلا عملت كده والحمدلله بقيت احسن من غير الحجات الي ربنا خدها مني الحمدلله	Positive
اصلا المغتربين ماعاد بدهم جامعات الاردن، عل فكره في دول ثانيه وجامعات ثانيه اقوى، خليها للذنيبات	Negative
حرام تحمل اسم عظيم زي هيك	Negative
اللهم انر قلوب المسلمين ايقظهم من غفلتهم	Positive
هذه من اقوال الرفيق المناضل	Positive
اصلا هدا يمسى مرض الرهاب الاجتماعي	Negative
هذا ليس مضحك بل مخزى يا للخزى العار	Negative
ومن منطلق المسؤوليه التاريخيه للهاشميين تجاه المقدسات ياتي اهتمام الهاشميين بالقدس ومقدساتها	Positive
صباح الخير والسعاده لكم	Positive
بسمه امل حلوه	Positive
صوره مليانه روح ، يعلم الله اني سعيد جدا فيها ففيها شباب حافظين لكتاب الله	Positive
دعاء جميل ماشاء الله	Positive
حفظ الله وطننا من المنافقين المتاردنين	Negative
المهم هو الصادق معي الناصح لي	Positive
ان شاء الله يتقبل الله صلاتنا يزيد في صلاتنا الخشوع	Positive
يعطيك العافيه	Positive
الله يرفعهم الى جهنم جنب القذافي باسرع وقت لان الظلم زاد عن حده	Negative
كلام جى فى وقته	Positive
يعني هيك برامج بتبين للناس وين صرنا كم صارت نسبه التخلف بين شباب امتنا	Negative
لا يشكي قله المال لكنه يشكو امانه الرجال	Positive
فلما الحزن فلقد اصبح الحزن صديقي	Negative
هاض بني ادم حقير	Negative
ما عندهم هو قله احترام للمشتركين وفله ادب تجاه المشاهدين	Negative
ظني بالله جميل	Positive
لا تحزن الدنيا ما فيها اشي تحزن عليه	Positive
نهارك اسود	Negative
اللهم احسن خواتيم اعمالنا اجعل كل اوقاتنا طاعه	Positive
ما احقر الاصدقاء حينما يصبحون غرباء فجاه	Negative
قلت ادب	Negative
صباح ملؤه الخيرات المسرات	Positive
ملحمه بالجامعه الاردنيه	Negative
دعواتك لنا يا شيخ سلمان بالتوفيق الفلاح الظفر حسن الخاتمه	Positive
الحمد لله رب العالمين على عطاه رضا	Positive
بس اكيد وراها مصلحه	Negative
ربنا المستعان ادعولنا ارجوكم	Positive
اصواتهم مع التوتر خربت	Negative
لله يحرق قلبك يبشار	Negative
يالا من هون كس امك انت و هو، بلاش قرف و وساخه	Negative
النيه دايما بتكون موجوده وربنا المعين	Positive
اسال الله ان يرزقني من يدعو لي في ظهر الغيب	Positive
مالكيش حظ في اصحابك ولا اهلك	Negative
الغباء واضح	Negative
اكبر مشكله تواجهكك في الاردن ؛ اذا طلعت من الدار شبعان ، بتعرفش وين تروح	Negative
ولا خير في امر كرهت ان يطلع عليه الناس	Negative
قل لي من تصاحب اقول لك من انت	Positive
رئيس مو عارف يحكي حرف الاس روح تخيب ولك يلعنها انيسه على هيك جحش خلفتو	Negative
الحمد لله الذي بنعمته تتم الصالحات حمدا غير منقطع	Positive
وعرض اختي انك لاسع يادمن عساس لو بدها تضرب من هسه خايفه منك	Negative
مقال رائع والله يهدي البنات يارب ويرجعهم للصواب	Positive
احس انه يفطر حشيش	Negative
اللهم لا شماته ليش ياربي يحرجوا انفسهم	Negative
لا تقنتوا من رحمه الله فهي وسعت كل شيء مهما عصينا فلنا رب كبير رحيم ورحمن	Positive
الله يرحمنا برحمته	Positive
من ضحك عليك وحكالك صوتك حلو	Negative
اللهم نسالك السلامه من مثل هذه الخيبه	Positive
متفقين معهم البرنامج خايس	Negative
لتصل الى القمه لا تلتفت الى مغريات الطريق	Positive
احيانا يكون الفشل دافع للنجاح	Positive
عد دراسه قمنا بها تبين ان وضع خلايه شمسيه في صجراء الاردن والسعوده تكفي للاناره الارض كامله مدى الحياه	Positive
يضحكون م شاففوا انفسهم لو قلنا غنوا جابوا الععيد فالحين بس في الظرافهه الشيبان	Negative
الظاهر عقلك تافه من اصحاب العقول المقفله	Negative
تليفيزيون المستقبل صار سيء للغايه ما ادري ليش	Negative
اللهم اجعلني من يتشرف به الاسلام	Positive
اهلا وسهلا بك بيننا يا طارق	Positive
غيب عن وجهي	Negative
لاتنساني من دعائك الصالح شيخنا	Positive
مالك دين مثل الكلاب الضاله الا اقولك مثل مومسات عاهرات المراقص عندكن	Negative
اللهم ارزقنا كما ترزق البغاث تسلميلي هنوده حلوه كثير الله يفتح عليكي يهدينا اياكي	Positive
البيت اللي فيه فرح سعاده دايما بكون متفائل سعيد بحاضره مستقبله	Positive
اللهم اعنا على انفسنا اجعلنا نرى الدنيا صغيره الاخره كبير	Positive
اصلا كتير من البنات بدهن يحكن مع الشباب	Negative
اذا لم تقل لا للظلم فسيستمر الى الابد	Positive
اليك يا ربي قلبا لم يستعن بسواك، ياوي اليك لترضى ويهتدي بهداك	Positive
الجيل الي هيحرر فلسطين شوفه في سوريا يقاتل العلويين الكلاب لكن ربي يعلمهم فنون القتال ويربيهم	Negative
ويحطمو رؤوسهم بارجلهم	Negative
ما اسخفك	Negative
فيديو بايخ	Negative
نسيانك صعب اكيد	Negative
انا انصح كل انسان ان لايكذب لان الكذب مداه قصير	Positive
الحمد لله على نعمه التي لا تحصى الحمد لله الذي تكفل برزقي الحمد لله لانه رب يستحق الحمد على السراء الضراء	Positive
نعم فى البدايه كلهم اروع من الروعه	Positive
والله عاهات	Negative
رجعتولنا الفرحه اللي نسيناها	Positive
انت ما تستحي تقارن القران بوحده ساقطه انعل ابوك لا ابو الملحد	Negative
اللهم ارضنا بما قسمته لنا	Positive
لجنه حكم ماعندها ذره احترام	Negative
يتسابقون الى جهنم و باس المصير	Negative
لو كاكا بالبرازيل كنت اعطيط لايك بس هيك فشر	Negative
صباح الزنبق والفل والياسمين	Positive
مش عارف كيف الناس بتحبك يا زلمه؟	Negative
برك الله فيك وجعلها في مزان حسناتيك	Positive
شو عادي يزم انتا ما عندك دم ونخوه يزم انتا مش بني ادم ترى ورح طير	Negative
الله اكبر والعزه للسلام	Positive
حينما ننجح فى الانتصار على انفسنا	Positive
ما شاء الله العطله ماثر عليكوا كتير صبايا الكل بحكي حبيبتي وحبي وبلمدرسه كل واحد بكشر من جهه	Negative
الله يوفقكم والله يجعلكم تفوزون كلكم معنا قولوا امين	Positive
اللي لازم يصير اضراب جميع موظفي الدوائر الحكوميه الخاصه لمده اسبوع شوف بعدها	Negative
يا رب يا خير الرازقين ارزق اهل سوريا جميع المسلمين النصر الثبات التقوى	Positive
لوين ندكم توصلونا الله هموم المصاريف قتلت الصغير قبل الكبير الله ياخذ حقنا منكم لا يباركلكم	Negative
الله يهدي التائهين والضالين الى طريقه	Positive
اللهم هون برد الشتاء على عبادك المستضعفين في كل مكان ،اللهم انزل دفئك ورحمتك على كل فقير لا ماوى له	Negative
اللهم اكرمنا برضاك	Positive
اوقف القرار للحفاظ على الوطن	Negative
يارب قربني اليك واقترب لي اكثر	Positive
الحمد لله كلما ارى ناس اسلموا تعم الفرحه في قلبي	Positive
ياخي برنامج سامج ساذج	Negative
بعدين الاردن تسبح على بحر من النفط الصخر الزيتي اشتغلو فيه بالاول بيكفينا 100 سنه	Negative
تويتر صاير ممل	Negative
كان خطاي الوحيد، اعطيت من لا يستحق اكثر من حقه	Negative
ربنا يستر واخلاق المتاسلمين لا ترجعه مره اخرى	Positive
ولا مستحيل يطلع واحد يفشل نفسه كذا	Negative
الله يفرح الكل ويجمع بين المتحابين على خير	Positive
خساره فيك اسمك :	Negative
الوفاء في غير قلبك ما لقيت	Positive
كلماتك عذبه	Positive
صرماتي براس اهلك	Negative
اللهم انا نشكو اليك ضعف قوتنا قله حيلتنا حسبنا الله نعم الوكيل	Negative
لو نريد الخشوع حقا نطلق الدنيا	Positive
اقرفني والله	Negative
الابتسامه كلمه طيبه بدون حروف	Positive
عليكم بالدعاء والتضرع لله سبحانه وتعالى ولا يرد القضاء اللا الدعاء اجتهدوا رحمكم الله	Positive
ربنا يكتر من امثالك يا مصطفى	Positive
اللهم اصلح حالي احفظني نور قلبي اجعل طريق الخير طريقي اجعل عملي خالصا لوجهك الكريم توب علي اغفر لي زلاتي	Positive
نجدد قلبنا بالايمان مع بعض	Positive
لا حول ولا قوه الا بالله العظيم لم اكن اعلم ان نسبه ذكاء العرب منخفضه جدا الى هذا الحد	Negative
صباح الورد لوجه طيبه	Positive
الصادق ينتظر الفرج ولا يياس من روح الله	Positive
حلو كلامك عزيزي	Positive
الاهم نكون صادقين مع نفسنا لنكون صادقين مع الاخرين	Positive
ليس هناك شخص معاق بل هناك مجتمع يعيق	Negative
لا تحزن على دنا فانيه بل احزن على اخره باقيه	Positive
صباح الحب من الله علينا جميعا	Positive
من ترك شيئا لله عوضه الله خيرا منه	Positive
و يرزقكم من حيث لا تعلمون	Positive
سوبر سطار ولا بلاش	Negative
كسم البرامج العربيه متخلفه بنت شرموطه	Negative
حسبنا الله ايش صاير لشبابنا الحشيش والمخدرات غزتهم الله يهونها ويحفظ شباب وبنات الاردن	Negative
حرام عليك ماتشوفه شلون يصارخ كانه مشجع في ملعب	Negative
اتصور لو ظليت ما اتعلق احسن لانه تعليقاتك مقرفه	Negative
والله قررات من دلواتى يا مصطفى بس انا عاز رايك فى حاجات كتير	Positive
ما حد بيتحكم فيي	Negative
الله يخزيكم عند امن الوطن مافي سلطي ولا كركي ولا طفيلي الاردن فوق الجميع قالوا بنحبك يا وطن رد عليهم الوطن بغصه حبوا بعضكم اول	Negative
الله يسعد كل البشر امين يا رب	Positive
بعن الله ابوك انت وعدوله يالسامج	Negative
لا هديله بالجزمه طبعا	Negative
فعلا برنامج ساقط واللي بيتابعه اسقط منه	Negative
الاردن كثير حلوه من كل النواحي.. طبيعه و معالم و اثار	Positive
كيف يجتمع ستر وغض البصر	Negative
اللهم اجعلنا منهم وارزقنا الطاقه ولاراده لزللك ياربى	Positive
صباحكم سعاده وعباده مقبوله ان شاء الله	Positive
جورج وسوف حلب مو طبيعي	Negative
هدا ماهو عقل هدا تخلوف	Negative
وين الماء كل يوم الميه مقطوعه	Negative
حسبنا الله نعم الوكيل في اناس همهم تجويع الشعب	Negative
يا رب اريد تجديد ايماني ساعدني	Positive
طبعا اكيد والف	Positive
نتفق معك في ان الرجال يعرفون بالحق ولا يعرف الحق بالرجال	Negative
نعم الاخ و الصديق اخلاقك تدرس	Positive
الحب بين الزوجين اوسع ابواب السعاده	Positive
رحمه الله رحمه واسعه واسكنه فسيح جناته .. نعم الدكتور ونعم الداعيه ونعم الاب ونعم الصديق URL مخلص في عمله .. صدوق في دعوته	Positive
بنحاول فى كل مره نكون افضل	Positive
انا كل يوم اقول غدا سوف اصلي لكن لا اقدر انا ادعوا الله دائما ان يهديني ارجو من من يملك حل مراسلتي	Positive
لو يبطلو سرقه بهالخزينه الله الشعب ليعيش لكو ارحمونا حرام عليكم	Negative
بدك الصراحه بدون زعل جهنم الزبانيه من الملائكه تنتظرك تموت لتشرب من فروج المومسات صديد اهل النار ان شاء الله يا اوباش سوريا	Negative
الدعوه مش بالكلام بس ممكن نكون دعاه باخلاقنا اسلوبنا تعاملنا	Positive
يعني يجبون كم واحد يعطونهم فلوس ويجون يستهبلوا عندهم عشان يحركون البرنامج	Negative
يا الله ارحم عبدك الفقير المسكين وجميع المسلمين والمسلمات	Positive
اللهم عفوك رضاك الجنه	Positive
اعمل ليومك غدك كن متفائلا دائما يا صاحبي	Positive
زاكى اكيد رهف بكفى انه من مشتقات الحليب	Positive
ربنا يتوب علينا من المعاصى	Positive
الحب الان بقى تيك اواى قليل اوى لما نلقى انسان مخلص فى حبه مع ان الحب ده اجمل واسما عاطفه فى الوجود	Positive
اللهم لا تجعلنا من المنافقين	Positive
وين بدهم يروحو يعني خالصه	Negative
اميره ممكن اضافه لو سمحتي	Positive
يجب على الحكومه العوده بالتوقيت الى الساعه الثالثه	Negative
تكالبت عليه الكلاب ولم تسمح له بالبروز بعد البرنامج	Negative
شعوب تافهه همها الحياه الدنيا فكروا في نهايتكم	Negative
والله حرام الناس مش لاقيه توكل حتى ترفعو البنزين	Negative
هذه مشكله الذي يغني كثيرا في الحمام ويتصور انه اصبح مطرب	Negative
المغرب بريء منك على الاقل اذا كنت لهجتنا صعبه فتكلم باللغه العربيه	Negative
قمه البلاغه	Positive
الحمد لله على نعمه الاسلام وكفى يها نعمه	Positive
اللهم اني اسالك فعل الخيرات و ترك المنكرات و حب المساكين و ان تغفر لي و ترحمني و تتوب علي	Positive
ايوه هيك بدنا ياكم يا شباب بترفعو الراس	Positive
ما اجمل الحياه برضى الله	Positive
هو فى حد اساسا لسه بيتابع البت دي هاي عنجد بتقرف	Negative
ما ازنخك انت مقالاتك	Negative
نعم والحمد لله	Positive
وجه حسن وضحكه تفتح النفس وعيون خلابه	Positive
و اذا فادنا بشي رح يكون في خساره كبيره بالاخر	Negative
ربي يهديهن	Positive
شو عاجبك فيها مثلا ؟ لتكون سيارتكم	Negative
تفائلوا بالخير تجدوه اعملوا الصالحات	Positive
البرنامج الي بعد سوبر ستار الي يقلده دم ثقيل	Negative
مجانين احد يضحك عليك وانتم قدامه وتكمل	Negative
لو يدرس في جامعات مصر او الاردن يعرف الدراسه والعلم الحقيقي وهناك اللي يقدرون نسبته وتفوقه	Positive
اللهم لا تدع لى ذنبا الا غفرته اللهم اصلح لى دينى	Positive
بني البرنامج النووي الاردني على عده تصورات خاطئه بشكل خطير تتعلق بالتكنولوجيا	Negative
للاسف لسا في مدارس بتخلخل عظام الطلاب من البرد عن مدارس قرى الاردن و المناطق الشعبيه عم بحكي	Negative
يلعن الساعه الي بشرت فيك	Negative
بصمات راقيه لاديب الدعوه محمد الغزالي	Positive
الله يصبحك برضاه	Positive
دي اخلاق السلف الصالح	Positive
يا ريت لو يعملوا دورات قبل الزواج	Positive
اضحك تضحكلك الدني	Positive
اذا الخبر صحيح انا اول شخص بطالب بالهجره لاي دوله خليجيه او اوروبيه او حتى اسرائيل	Negative
وانا من الناس اللي فعلا محتاجين يحاسبوا نفسهم ويصلحو من نفسهم لاننا عارفين انه لا ملجا لنا الا لله	Positive
يارب اعيني علي دكرك وشكرك وحسن عبادتك	Positive
الاردن لديه الخبره في مجال اداره الموارد البشريه واستخدام هذه الامكانيات بافضل مايمكن لتوجيه اقتصاد الدوله	Positive
نعم احسنت واجبه على كل مسلم وحق لكل مسلم فتح الله عليكم	Positive
رضيت بالله ربا وبالاسلام دينا وبمحمد صلى الله عليه وسلم نبيا ورسولا	Positive
صباح العسل	Positive
ونعم بالله من اختار قرب الله فما خاب ابدا الله على دى راحه وده شعور الحمد لل	Positive
صراحه بخزي من دون مجامله	Negative
الحكومه قاعده بتخبص رايحين يدمروا البلد الله ينتقم منهم	Negative
حقيقى لازم نجمد قلبنا عن اى حاجه غلط	Positive
الله يستر على بنات المسلمين جميعا	Positive
يا رب قويني علي نفسي يا رب تقبل منا الله	Positive
سبحان الله قادر على كل شىء	Positive
اللهم ارنا الحق حقا ارزقنا اتباعه ارنا الباطل باطلا ارزقنا اجتنابه	Positive
اي والله سوبر	Negative
ربنا يوفق الجميع علي الخشوع	Positive
يا رب استجب دعائنا وانصر اهلنا في سوريا	Positive
صحيح انك سافل	Negative
من يوم شفتك حاطه صورتك غسلت يدي منك	Negative
يازم والله ماعندكم غير الكذب ع الناس	Negative
سبحانك ربي اني كنت من الضالمين	Positive
الواحد عايش وسط قرف	Negative
اللهم ان كان لي عوض على صبري	Positive
اللهم ارزقنا السلامه العافيه في ديننا دنيانا	Positive
والله لو يجمعونهم على شاطئ البحر الميت ويخلونهم يصرخون على اليهود ولمده 30 ثانيه ليهربون لقبرص عن طريق البحر سباحه	Negative
